NO,AH,T,P
0.9,16.17973116,24.61111111,98.81483102
0.91,7.681410422,21.27777778,99.39051715
0.96,7.859848353,25.05555556,99.01801436
0.89,6.015835644,20,99.11960603
1,2.601412114,26.11111111,100.8466644
1.1,2.168117159,19.66666667,99.52597271
1.15,1.367894666,19.33333333,100.5418894
1.03,4.57717848,24.94444444,99.83074772
0.77,16.85767862,25.38888889,98.51005601
1.07,4.073380787,19.83333333,100.2371144
1.07,5.266592963,24.88888889,99.49210882
0.94,14.53209662,30.33333333,99.39051715
1.1,7.173190155,24.94444444,100.3387061
1.1,3.220640793,30.16666667,100.1016588
1.1,3.37237509,30,99.83074772
0.91,16.38086042,24.61111111,99.5598366
0.87,17.71498089,25.5,99.15346992
0.78,23.2679396,25.94444444,99.18733381
0.82,33.12534537,30.44444444,98.30687267
0.95,10.33492676,21.61111111,99.45824493
